,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
402,0.535518581526653,4,TFAP2A,199.27437334509113,0.8637137289748386,-11232.664509812463,-5.359582405347667,1.6113289938765867,SE,10408,5.61513021313583e-07,1.0601647032616403e-05,0.006564140319824219,22502.330339705695,-15116.138605072929,3883.474095260466,0.0,0.0
311,0.5516818370741152,4,MMP1,199.27437334509113,0.8092331603845241,-13278.55871118842,-3.936042288109372,1.3572095308547665,SE,10408,4.747187630240583e-07,9.043533266554781e-06,0.0171661376953125,26594.11874245761,-17155.662061243245,3877.1033500548256,0.0,0.0
156,0.507826038921662,4,AKR1C1,199.27437334509113,0.9651163883667847,-11380.22435677968,-4.594608302121762,1.2652988547403496,SE,10408,5.034655997211486e-07,9.433937242343252e-06,0.0051839351654052734,22797.45003364013,-15213.863536636152,3833.6391798564728,0.0,0.0
171,0.43697736181766933,4,BANK1,199.27437334509113,1.2830481117462174,-11321.665338946783,-3.415778423719035,0.7752538089660068,SE,10408,5.594413679563957e-07,1.0746544841104752e-05,0.003370046615600586,22680.331997974336,-15154.603352871614,3832.9380139248315,0.0,0.0
279,0.5207565890736083,4,ITM2C,199.27437334509113,0.9164259946386497,-10793.127483948927,-3.810280229586678,0.982057997121025,SE,10408,5.273891490691556e-07,9.905250053660789e-06,0.0028700828552246094,21623.256287978624,-14622.284944373712,3829.1574604247853,0.0,0.0
255,0.5242724792011908,4,FOXA1,199.27437334509113,0.9036021135267839,-11766.250163784347,-4.490704848118737,1.2967639651094458,SE,10408,4.977306786814163e-07,9.357553589793466e-06,0.0069849491119384766,23569.501647649464,-15524.722360337259,3758.4721965529116,0.0,0.0
369,0.4862247002213754,4,SCGB2A1,199.27437334509113,1.0522337484228055,-11092.197009352052,-4.042162267696224,1.0167579554532054,SE,10408,4.992096740282801e-07,9.361760660752756e-06,0.003371000289916992,22221.395338784874,-14839.476664124144,3747.279654772092,0.0,0.0
365,0.5567974328458323,4,S100A14,199.27437334509113,0.7926492732940299,-12503.230577068927,-6.964708895442576,2.59432279383789,SE,10408,5.688969890550489e-07,1.0876111647481422e-05,0.0077152252197265625,25043.462474218624,-16196.418721333317,3693.18814426439,0.0,0.0
185,0.49707133847217927,4,CCND1,199.27437334509113,1.0075432251698433,-11313.14340563088,-6.5988167516076155,2.115029089271475,SE,10408,5.637390302544076e-07,1.055984018782907e-05,0.0025610923767089844,22663.28813134253,-15006.073059572926,3692.9296539420448,0.0,0.0
208,0.5780440815452637,4,CDH1,199.27437334509113,0.7269125160528638,-12284.845943274406,-7.808082591498712,3.140987630581982,SE,10408,5.503024396801527e-07,1.0716432000948388e-05,0.0031671524047851562,24606.69320662958,-15954.60666426358,3669.760720989174,0.0,0.0
