,C,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,is_spatial,pattern_type,method
sim_g092,0.9263307784484344,2.0754912836954154e-90,1.3395159586304278e-05,1.7211926276391686e-87,0.000999000999000999,1.449070775863134e-05,1.0553345510315672e-89,8.751826920199163e-87,0.0020527417787691757,1,hotspot,geary
sim_g082,0.9301968450573327,2.148611236342844e-81,1.3395159586304278e-05,1.6347036185300128e-82,0.000999000999000999,1.359481717942975e-05,1.0743056181714219e-80,8.173518092650064e-82,0.0020527417787691757,1,gp,geary
sim_g038,0.931114320737682,2.5153755413613743e-79,1.3395159586304278e-05,7.921445315678365e-79,0.000999000999000999,1.3695918207349128e-05,1.2370699383744463e-78,3.8957927782024745e-78,0.0020527417787691757,1,gp,geary
sim_g132,0.9336459574328362,9.26860567974191e-74,1.3395159586304278e-05,7.60861032771951e-71,0.000999000999000999,1.4440008200895613e-05,4.484809199875118e-73,3.623147775104529e-70,0.0020527417787691757,1,stripes,geary
sim_g026,0.9370105654187026,1.1073454809318973e-66,1.3395159586304278e-05,1.0349946362553313e-70,0.000999000999000999,1.267110582490281e-05,5.273073718723321e-66,4.851537357446865e-70,0.0020527417787691757,1,stripes,geary
sim_g043,0.9370148502517318,1.1299592756588297e-66,1.3395159586304278e-05,1.4450118637695114e-75,0.000999000999000999,1.2392607601205215e-05,5.296684104650764e-66,6.991992889207313e-75,0.0020527417787691757,1,stripes,geary
sim_g146,0.9393599027461741,5.876036182607609e-62,1.3395159586304278e-05,3.5837586344635507e-70,0.000999000999000999,1.1815298791896554e-05,2.7120166996650505e-61,1.6540424466754847e-69,0.0020527417787691757,1,stripes,geary
sim_g098,0.9393793618060919,6.419103070366252e-62,1.3395159586304278e-05,4.031880137069075e-61,0.000999000999000999,1.3809844426314787e-05,2.917774122893751e-61,1.832672789576852e-60,0.0020527417787691757,1,stripes,geary
sim_g037,0.9425460301373877,7.79641887618979e-56,1.3395159586304278e-05,5.189860900964212e-60,0.000999000999000999,1.283146157957487e-05,3.4909338251596075e-55,2.28964451513127e-59,0.0020527417787691757,1,gp,geary
sim_g055,0.9442190461554589,9.455278797248928e-53,1.3395159586304278e-05,6.974083968189765e-55,0.000999000999000999,1.2374933262929279e-05,4.1714465281980565e-52,2.988893129224185e-54,0.0020527417787691757,1,gp,geary
sim_g002,0.9444431815595701,2.4096068716533432e-52,1.3395159586304278e-05,3.2639686620765287e-60,0.000999000999000999,1.1742732191426572e-05,1.04765516158841e-51,1.461478505407401e-59,0.0020527417787691757,1,gp,geary
sim_g148,0.9448437152269344,1.2703457009337417e-51,1.3395159586304278e-05,4.78664376064185e-58,0.000999000999000999,1.1484478931603249e-05,5.444338718287464e-51,2.0811494611486305e-57,0.0020527417787691757,1,stripes,geary
sim_g135,0.9461302045348456,2.4424895650947782e-49,1.3395159586304278e-05,1.4536711709726298e-50,0.000999000999000999,1.2711621231049232e-05,1.0320378444062443e-48,6.142272553405478e-50,0.0020527417787691757,1,gp,geary
sim_g142,0.9464646582016327,9.393784433336785e-49,1.3395159586304278e-05,6.27812889956114e-48,0.000999000999000999,1.3829273187188648e-05,3.9140768472236603e-48,2.4782087761425553e-47,0.0020527417787691757,1,gp,geary
sim_g119,0.9477764565600507,1.7081213184907604e-46,1.3395159586304278e-05,7.985236646381689e-50,0.000999000999000999,1.2470502158001302e-05,7.019676651331891e-46,3.3271819359923708e-49,0.0020527417787691757,1,gp,geary
sim_g096,0.9485000869918974,2.8527681624663277e-45,1.3395159586304278e-05,7.310080260042136e-44,0.000999000999000999,1.2223214146919596e-05,1.156527633432295e-44,2.7759798455856215e-43,0.0020527417787691757,1,gp,geary
sim_g073,0.9499533109182868,7.241182395106449e-43,1.3395159586304278e-05,2.5755391076437507e-48,0.000999000999000999,1.1649214288579894e-05,2.8964729580425794e-42,1.0584407291686646e-47,0.0020527417787691757,1,stripes,geary
sim_g145,0.9502457618580684,2.1650744093074192e-42,1.3395159586304278e-05,7.983422976134284e-48,0.000999000999000999,1.3238128375303458e-05,8.546346352529286e-42,3.1104245361562146e-47,0.0020527417787691757,1,stripes,geary
sim_g014,0.9512729885417666,9.646488979430756e-41,1.3395159586304278e-05,5.667849355083393e-48,0.000999000999000999,1.1060879096395699e-05,3.758372329648347e-40,2.2977767655743486e-47,0.0020527417787691757,1,stripes,geary
sim_g025,0.9528120973681866,2.46181974021276e-38,1.3395159586304278e-05,4.345169934343537e-43,0.000999000999000999,1.1255063999165352e-05,9.46853746235677e-38,1.5896963174427574e-42,0.0020527417787691757,1,gp,geary
sim_g021,0.9532470214260347,1.1417218541763997e-37,1.3395159586304278e-05,2.533255384634492e-44,0.000999000999000999,1.1188918653686962e-05,4.335652610796455e-37,9.74328994090189e-44,0.0020527417787691757,1,stripes,geary
sim_g139,0.9537345353448674,6.268811153023557e-37,1.3395159586304278e-05,6.439672290927732e-40,0.000999000999000999,1.1696249181847351e-05,2.350804182383834e-36,2.2998829610456184e-39,0.0020527417787691757,1,gp,geary
sim_g058,0.9539205572003943,1.1950518016773626e-36,1.3395159586304278e-05,2.050147022987103e-43,0.000999000999000999,1.1405026922436623e-05,4.426117783990232e-36,7.688051336201638e-43,0.0020527417787691757,1,gp,geary
sim_g120,0.9542780849823307,4.100092008207377e-36,1.3395159586304278e-05,7.756250072138968e-38,0.000999000999000999,1.1084512198644015e-05,1.5000336615392844e-35,2.6144663164513372e-37,0.0020527417787691757,1,gp,geary
sim_g015,0.9552869401975361,1.2629104969289387e-34,1.3395159586304278e-05,4.73008630048331e-38,0.000999000999000999,1.0801468062178223e-05,4.56473673588773e-34,1.61252942061931e-37,0.0020527417787691757,1,gp,geary
sim_g104,0.955313602366947,1.381237072612584e-34,1.3395159586304278e-05,4.288457616339834e-43,0.000999000999000999,1.0389528698206464e-05,4.932989545044942e-34,1.5883176356814198e-42,0.0020527417787691757,1,stripes,geary
sim_g059,0.9559003753502983,9.783064834386487e-34,1.3395159586304278e-05,6.256730768275597e-48,0.000999000999000999,1.085565442098399e-05,3.4528464121364074e-33,2.4782087761425553e-47,0.0020527417787691757,1,stripes,geary
sim_g052,0.9569312771982831,2.8664837531973595e-32,1.3395159586304278e-05,2.1055042542749357e-40,0.000999000999000999,1.0839144537108974e-05,9.999361929758231e-32,7.610256340752779e-40,0.0020527417787691757,1,gp,geary
sim_g111,0.9571173037582223,5.228808364844956e-32,1.3395159586304278e-05,3.3421150186510255e-38,0.000999000999000999,1.0591773376435584e-05,1.803037367187916e-31,1.1524534547072503e-37,0.0020527417787691757,1,stripes,geary
sim_g039,0.9579386707060854,7.20638728827739e-31,1.3395159586304278e-05,3.66211232293744e-39,0.000999000999000999,1.0694773180217257e-05,2.4567229391854737e-30,1.2774810428851536e-38,0.0020527417787691757,1,hotspot,geary
sim_g050,0.9584772242198192,3.917022590496129e-30,1.3395159586304278e-05,1.1957296265333795e-39,0.000999000999000999,1.0937210502589139e-05,1.3203446934256614e-29,4.2202222112942806e-39,0.0020527417787691757,1,stripes,geary
sim_g095,0.9591786338035704,3.4398008284012574e-29,1.3395159586304278e-05,2.138547724754955e-36,0.000999000999000999,1.1489009215381979e-05,1.1466002761337526e-28,7.128492415849851e-36,0.0020527417787691757,1,gp,geary
