,C,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,is_spatial,pattern_type,method
sim_g148,0.995116519288799,0.09105174985622855,1.3395159586304278e-05,0.05226343628824712,0.053946053946053944,7.195066744809467e-06,0.16455135516185881,0.10050660824662906,0.10441171731494311,1,stripes,geary
sim_g084,0.995208147129739,0.09522129465114498,1.3395159586304278e-05,0.07162921321561126,0.07792207792207792,7.421552879466146e-06,0.17003802616275887,0.13169883844978617,0.14254038644282546,1,gp,geary
sim_g079,0.995239351405221,0.09667286951279552,1.3395159586304278e-05,0.15150920821662317,0.14685314685314685,7.017718657196567e-06,0.1712290005472079,0.23429259002570596,0.22945804195804195,1,stripes,geary
sim_g248,0.9952469707758588,0.09702976697675114,1.3395159586304278e-05,0.016077571394779923,0.015984015984015984,7.493497383565812e-06,0.1712290005472079,0.040531692591882156,0.041697433001780825,0,null,geary
sim_g263,0.9953664906423667,0.1027552925372095,1.3395159586304278e-05,0.06720356215668329,0.060939060939060936,7.39239409152975e-06,0.180272443047736,0.12522402886338502,0.11355104522806386,0,null,geary
sim_g163,0.9956087434993952,0.11510529141191517,1.3395159586304278e-05,0.012796993467856121,0.006993006993006993,6.287503833630248e-06,0.1962889683839524,0.03338346122049423,0.020771307900020772,0,null,geary
sim_g130,0.9957514410969834,0.12285602325246975,1.3395159586304278e-05,0.16018930398750464,0.16183816183816183,6.914418374476336e-06,0.20823054788554196,0.24194778064286235,0.24154949528083852,1,gp,geary
sim_g210,0.9959343641938175,0.1333169517672334,1.3395159586304278e-05,0.06784498377293884,0.07292707292707293,7.647825742872887e-06,0.2217802332512603,0.12563885883877562,0.13505013505013505,0,null,geary
sim_g107,0.9959552069458714,0.13454667483909794,1.3395159586304278e-05,0.02883691827932959,0.03196803196803197,7.830115460888518e-06,0.2217802332512603,0.06408204062073242,0.07051771757654111,1,stripes,geary
sim_g149,0.9960224285903154,0.1385656959084861,1.3395159586304278e-05,0.029723049122603908,0.025974025974025976,7.738336596587563e-06,0.2259223302855752,0.06556554953515568,0.05948250223059384,1,gp,geary
sim_g108,0.9960996118480548,0.14328023983716892,1.3395159586304278e-05,0.009524447459384711,0.01098901098901099,7.351771413356155e-06,0.23144106176886808,0.026214075576288194,0.03024498437342474,1,gp,geary
sim_g076,0.9961155146904604,0.14426492850259443,1.3395159586304278e-05,0.0008533047606701016,0.003996003996003996,7.581428792484691e-06,0.23144106176886808,0.003121846685378421,0.012358775245373184,1,hotspot,geary
sim_g019,0.9961815775026799,0.14840422578131646,1.3395159586304278e-05,0.032510051180751835,0.03896103896103896,7.163600875067346e-06,0.23451469874230027,0.07016557808795361,0.08116883116883117,1,gp,geary
sim_g180,0.9961835018093534,0.1485259758701235,1.3395159586304278e-05,0.3023505335210206,0.3006993006993007,6.997046096164443e-06,0.23451469874230027,0.3599411113345483,0.35797535797535796,0,null,geary
sim_g208,0.996212251812463,0.15035292910900755,1.3395159586304278e-05,0.1562965864411497,0.15284715284715283,6.898584428696011e-06,0.23615643315550922,0.23922946904257605,0.2339497237456421,0,null,geary
sim_g051,0.9962941635268924,0.1556399008048267,1.3395159586304278e-05,0.024102627059746615,0.026973026973026972,7.551492886283061e-06,0.24192730695050785,0.056052621069178174,0.06038737382020964,1,gp,geary
sim_g192,0.9964273028667593,0.16449189611816656,1.3395159586304278e-05,0.015766857769876182,0.016983016983016984,7.255001532087487e-06,0.2527076527831242,0.04008523161832928,0.04354619739235124,0,null,geary
sim_g170,0.9964847299435793,0.1684088359490145,1.3395159586304278e-05,0.49179187781995015,0.4755244755244755,6.796083997307259e-06,0.2564601562675348,0.49179187781995015,0.48688512852335375,0,null,geary
sim_g182,0.9965284928620203,0.1714337183158255,1.3395159586304278e-05,0.24019697979987986,0.23076923076923078,7.20502786950152e-06,0.25974805805428103,0.31330040843462587,0.3036437246963563,0,null,geary
sim_g174,0.9966974300332944,0.18343379906716983,1.3395159586304278e-05,0.3488590416944234,0.34965034965034963,6.857842788272127e-06,0.2710844321189702,0.3969602844505796,0.3999802478889931,0,null,geary
sim_g074,0.9967561629388823,0.18772556098106186,1.3395159586304278e-05,0.0020696650216113065,0.007992007992007992,7.225397347278191e-06,0.2751319711897604,0.006898883405371022,0.02305386920771536,1,gp,geary
sim_g213,0.9967599831709588,0.18800684697966963,1.3395159586304278e-05,0.4206492605633154,0.4165834165834166,7.143501561625627e-06,0.2751319711897604,0.4459179440600517,0.44633937491080344,0,null,geary
sim_g169,0.996808643039384,0.19161242979661236,1.3395159586304278e-05,0.0603660666660019,0.060939060939060936,6.944693558726258e-06,0.2790472278591442,0.11318637499875357,0.11355104522806386,0,null,geary
sim_g158,0.9969913072022034,0.20552116808737264,1.3395159586304278e-05,0.22589145718532344,0.23876123876123875,6.905599934009523e-06,0.2954214263431664,0.2980165787466039,0.3100795308587516,0,null,geary
sim_g236,0.9970076611885058,0.20679499844021648,1.3395159586304278e-05,0.043471374933854,0.03796203796203796,6.901045974049433e-06,0.2954214263431664,0.08932474301476849,0.08077029353625098,0,null,geary
sim_g027,0.9970447974356123,0.20970488248720764,1.3395159586304278e-05,0.2097639937623228,0.2097902097902098,7.165186618505725e-06,0.2981586006927123,0.28219371358160017,0.2822289817805513,1,gp,geary
sim_g235,0.9971534013587198,0.21835172543039666,1.3395159586304278e-05,0.08669946388891991,0.0919080919080919,7.665284869084936e-06,0.3075376414512629,0.15358135921362445,0.16030481146760214,0,null,geary
sim_g230,0.9974578080365876,0.24365319839316635,1.3395159586304278e-05,0.49124442064888596,0.4915084915084915,6.817280629421741e-06,0.33684773971405485,0.49179187781995015,0.49480720621660224,0,null,geary
sim_g052,0.9976488478258619,0.26030614461930723,1.3395159586304278e-05,0.10000746834308077,0.1008991008991009,7.16642557740723e-06,0.35277808135845257,0.17046727558479677,0.17198710380528562,1,gp,geary
sim_g277,0.9976610398046407,0.2613884801802302,1.3395159586304278e-05,0.3850650782859881,0.3926073926073926,6.662923127386859e-06,0.35277808135845257,0.42944060775389015,0.4341246988305812,0,null,geary
sim_g189,0.9978125718755652,0.27503081330036194,1.3395159586304278e-05,0.22208435390032882,0.21578421578421578,7.301180546066828e-06,0.3643030069705638,0.2961124718671051,0.2877122877122877,0,null,geary
sim_g071,0.997941270310835,0.286886442561441,1.3395159586304278e-05,0.12160554806900736,0.12187812187812187,7.332283632209685e-06,0.37097384813979445,0.19826991532990332,0.19657761593245462,1,stripes,geary
sim_g135,0.9979576423377445,0.2884118153134194,1.3395159586304278e-05,0.3584358523182052,0.35664335664335667,7.926461958047578e-06,0.37134568495290055,0.40425096126113363,0.405276541640178,1,gp,geary
sim_g056,0.9980329392261708,0.2954759435046946,1.3395159586304278e-05,0.3285067996965664,0.3156843156843157,7.47602879164036e-06,0.375778614360694,0.3819846508099609,0.3685030922385008,1,stripes,geary
sim_g231,0.9980444855946545,0.29656618790103106,1.3395159586304278e-05,0.18427799234334702,0.18981018981018982,6.87712021902079e-06,0.375778614360694,0.2604582829767553,0.26733829550730964,0,null,geary
sim_g294,0.9981334682562742,0.3050293268616059,1.3395159586304278e-05,0.41499369626066285,0.3986013986013986,7.314961767207161e-06,0.3828820002446936,0.44369951398492014,0.43483788938334395,0,null,geary
sim_g240,0.9981548246692972,0.3070763870211264,1.3395159586304278e-05,0.18424126937103052,0.2047952047952048,6.93712398943406e-06,0.383845483776408,0.2604582829767553,0.2792661883570975,0,null,geary
sim_g151,0.9982235657381553,0.3137060568092481,1.3395159586304278e-05,0.16446779135290862,0.17182817182817184,6.577094976469655e-06,0.3872914281595656,0.24194778064286235,0.25023520169151237,0,null,geary
