,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,is_spatial,pattern_type,method
sim_g033,0.016136324457147466,4.5507465371574796e-06,1.3395159586304278e-05,1.8765209497395574e-08,0.000999000999000999,8.482316024568201e-06,2.9047318322281784e-05,1.197779329620994e-07,0.0037936746797506294,1,stripes,moran
sim_g093,0.015904402039503555,6.096169135716423e-06,1.3395159586304278e-05,1.7449040212724753e-08,0.000999000999000999,8.39575031746883e-06,3.810105709822764e-05,1.137980883438571e-07,0.0037936746797506294,1,gp,moran
sim_g049,0.015839049760804757,6.615067347670589e-06,1.3395159586304278e-05,3.5437135448290746e-08,0.000999000999000999,8.735357431027894e-06,4.050041233267708e-05,2.1262281268974448e-07,0.0037936746797506294,1,hotspot,moran
sim_g042,0.015718126709863816,7.688269336614262e-06,1.3395159586304278e-05,1.9490298042157406e-08,0.000999000999000999,8.251787091692134e-06,4.612961601968557e-05,1.2181436276348379e-07,0.0037936746797506294,1,hotspot,moran
sim_g099,0.015090655240840804,1.649489323185538e-05,1.3395159586304278e-05,5.52004202347689e-08,0.000999000999000999,8.095104455268136e-06,9.702878371679634e-05,3.2470835432216995e-07,0.0037936746797506294,1,gp,moran
sim_g073,0.014975616190741683,1.8914941837699928e-05,1.3395159586304278e-05,1.4662420144695432e-07,0.000999000999000999,8.513849365390088e-06,0.0001091246644482688,8.299483100770999e-07,0.0037936746797506294,1,stripes,moran
sim_g043,0.014022152111141228,5.6731698447221035e-05,1.3395159586304278e-05,4.772032766720002e-07,0.000999000999000999,8.475945900313674e-06,0.00032112282139936434,2.651129314844446e-06,0.0037936746797506294,1,stripes,moran
sim_g021,0.013684293779162492,8.243770162053021e-05,1.3395159586304278e-05,5.750169626006496e-07,0.000999000999000999,7.934998130881844e-06,0.00045798723122516784,3.136456159639907e-06,0.0037936746797506294,1,stripes,moran
sim_g103,0.013550242599356747,9.539986962892044e-05,1.3395159586304278e-05,9.066813463354251e-07,0.000999000999000999,8.094371676715859e-06,0.000520362925248657,4.857221498225491e-06,0.0037936746797506294,1,gp,moran
sim_g089,0.013400254908611332,0.00011216432012339794,1.3395159586304278e-05,5.589976315500955e-06,0.000999000999000999,9.387706004788121e-06,0.0006008802863753461,2.743334298759317e-05,0.0037936746797506294,1,gp,moran
sim_g038,0.013124445509865489,0.0001504311567077643,1.3395159586304278e-05,2.9187913481720784e-06,0.000999000999000999,8.25529932009528e-06,0.0007917429300408648,1.5097196628476267e-05,0.0037936746797506294,1,gp,moran
sim_g127,0.013069418465821646,0.0001594016712117563,1.3395159586304278e-05,1.2350300624408561e-06,0.000999000999000999,7.681932603905461e-06,0.0008244914028194292,6.500158223372927e-06,0.0037936746797506294,1,gp,moran
sim_g147,0.012693587391764767,0.00023540764254736946,1.3395159586304278e-05,6.373085099875553e-06,0.000999000999000999,8.345566244780442e-06,0.001196988012952726,2.941423892250255e-05,0.0037936746797506294,1,hotspot,moran
sim_g097,0.012659312877547483,0.00024380781893296177,1.3395159586304278e-05,6.2335890439468855e-06,0.000999000999000999,8.341508739845283e-06,0.0012179785885081684,2.9225260606349775e-05,0.0037936746797506294,1,stripes,moran
sim_g072,0.01248649811715343,0.0002905874967420452,1.3395159586304278e-05,3.5045866705329942e-06,0.000999000999000999,7.739073373589202e-06,0.0014060685326227993,1.7819932223049124e-05,0.0037936746797506294,1,stripes,moran
