,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,is_spatial,pattern_type,method
sim_g072,0.17638960796418124,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.234006541348828e-05,0.0,0.0,0.0011059051649457553,1,stripes,moran
sim_g026,0.1758625495935026,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.19494880506906e-05,0.0,0.0,0.0011059051649457553,1,stripes,moran
sim_g007,0.17405120061684035,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.4488436731921884e-05,0.0,0.0,0.0011059051649457553,1,gp,moran
sim_g044,0.17336351996974755,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.176254336445868e-05,0.0,0.0,0.0011059051649457553,1,stripes,moran
sim_g111,0.17143180231619204,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.3393025290667887e-05,0.0,0.0,0.0011059051649457553,1,stripes,moran
sim_g135,0.1672631598156401,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.2322642047265116e-05,0.0,0.0,0.0011059051649457553,1,gp,moran
sim_g110,0.16677976527980473,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.943545317470555e-05,0.0,0.0,0.0011059051649457553,1,stripes,moran
sim_g104,0.15807413181344726,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.190781069593949e-05,0.0,0.0,0.0011059051649457553,1,stripes,moran
sim_g124,0.1512664952753292,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.0763111459138063e-05,0.0,0.0,0.0011059051649457553,1,gp,moran
sim_g086,0.1472981292785329,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,2.0713134078136617e-05,0.0,0.0,0.0011059051649457553,1,stripes,moran
sim_g098,0.1428395385666441,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.7117828827873073e-05,0.0,0.0,0.0011059051649457553,1,stripes,moran
sim_g070,0.1373932831329377,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.965904332358201e-05,0.0,0.0,0.0011059051649457553,1,stripes,moran
