,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,is_spatial,pattern_type,method
sim_g081,0.08154095053002607,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.3251453835834679e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g065,0.07754383082454444,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.4117768491573538e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g092,0.07542725661471782,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.4642882909285004e-05,0.0,0.0,0.002038777548981631,1,hotspot,moran
sim_g149,0.0744951378426483,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.4428614653156827e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g082,0.07062842272490329,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.3619089501393536e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g038,0.06940912433292856,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.4002605405411872e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g132,0.06753410941393752,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.3717013484315377e-05,0.0,0.0,0.002038777548981631,1,stripes,moran
sim_g043,0.06472260658665706,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.2933172492236155e-05,0.0,0.0,0.002038777548981631,1,stripes,moran
sim_g026,0.06299511773647605,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.2649691823716155e-05,0.0,0.0,0.002038777548981631,1,stripes,moran
sim_g098,0.060958510932331504,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.2661593046055314e-05,0.0,0.0,0.002038777548981631,1,stripes,moran
sim_g146,0.060837750820731264,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.1931780244026548e-05,0.0,0.0,0.002038777548981631,1,stripes,moran
sim_g037,0.058437869207647895,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.2884990855220737e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g002,0.056018489228624145,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.3612585639295506e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g055,0.05474323043403618,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.2187987834766569e-05,0.0,0.0,0.002038777548981631,1,gp,moran
sim_g148,0.054280491130785175,0.0,1.3395159586304278e-05,0.0,0.000999000999000999,1.0978856660570369e-05,0.0,0.0,0.002038777548981631,1,stripes,moran
